date,Temperature Score,Awake Time,Low Activity Time,Average MET,Sleep Latency Score,Total Sleep Score,Bedtime Start,Total Bedtime ,Training Volume Score,Sleep Balance Score,Sleep Timing,Temperature Deviation (°C),Stay Active Score,Light Sleep Duration,Respiratory Rate,Sleep Timin Score,REM Sleep Score,Lowest Resting Heart Rate,Activity Burn,Rest Time,Non-wear Time,Total Burn,Long Periods of Inactivity,Inactive Time,REM Sleep Duration,Resting Heart Rate Score,Previous Night Score,Activity Balance Score,Average HRV,Meet Daily Targets Score,Activity Score,Bedtime End,Restfulness Score,Training Frequency Score,Deep Sleep Duration,Previous Day Activity Score,Readiness Score,HRV Balance Score,Steps,Medium Activity Time,Temperature Trend Deviation,High Activity Time,Sleep Score,Sleep Latency,Sleep Efficiency Score,Total Sleep Duration,Restless Sleep,Deep Sleep Score,Sleep Efficiency,Move Every Hour Score,Recovery Index Score,Equivalent Walking Distance,Average Resting Heart Rate
2024-11-08,97,3868,13980,2.125,97,100,2024-11-08T00:13:32.000+02:00,39778,100,None,19110,-0.38,100,18690,14.125,24,99,47,1609,40260,2340,3707,0,12300,8520,93,89,70,123,95,99,2024-11-08T11:16:30.000+02:00,87,100,8700,94,90,None,18429,17400,-0.12,120,89,870,95,35910,249,99,90,100,100,30438,51.66
2024-11-09,100,1345,21000,1.625,89,92,2024-11-09T00:10:30.000+02:00,32575,100,None,16440,-0.21,100,15300,14.125,47,100,45,675,18780,34740,2767,0,7980,8940,95,87,74,142,95,99,2024-11-09T09:13:25.000+02:00,90,100,6990,79,85,None,13877,3900,-0.12,0,89,660,100,31230,267,96,96,100,84,13513,50.13
2024-11-11,98,2760,31020,1.75,40,76,2024-11-10T23:35:59.000+02:00,29880,100,79,15870,-0.26,100,14160,14.125,69,71,47,907,30420,4740,3036,0,15000,5520,87,65,83,131,95,99,2024-11-11T07:53:59.000+02:00,97,100,7440,85,79,None,16258,5160,-0.25,60,78,2220,96,27120,185,97,91,100,76,18117,49.68
2024-11-12,100,1160,31620,1.75,89,90,2024-11-11T23:19:31.000+02:00,31880,100,88,16200,-0.18,100,16500,14.125,74,90,47,899,29460,4680,3046,0,16380,6960,86,92,83,140,95,99,2024-11-12T08:10:51.000+02:00,97,100,7260,93,87,None,17531,4200,-0.1,60,91,690,100,30720,213,97,96,100,78,18245,50.87
2024-11-13,100,2778,17280,1.46875,51,75,2024-11-12T23:58:34.000+02:00,29568,100,74,15510,-0.05,79,13680,14.375,61,70,46,466,33360,2880,2533,1,30720,5400,92,66,83,128,100,96,2024-11-13T08:11:22.000+02:00,97,100,7710,91,77,86,9312,1860,0.0,300,78,1950,96,26790,201,98,91,95,30,8934,51.53
2024-11-14,97,1265,21780,1.5,86,100,2024-11-13T23:50:34.000+02:00,35105,98,88,17760,0.11,97,16410,14.5,46,100,48,563,35580,4740,2626,0,21300,9420,78,98,88,122,100,99,2024-11-14T09:35:39.000+02:00,98,100,8010,85,86,86,13266,3000,-0.07,0,93,600,100,33840,199,98,96,100,71,11318,53.9
2024-11-15,85,2306,28500,1.5,75,100,2024-11-14T23:31:33.000+02:00,40226,97,85,20400,0.27,100,19800,13.5,33,100,47,527,36240,5100,2618,0,15600,10320,86,90,85,123,100,99,2024-11-15T10:41:59.000+02:00,97,100,7800,94,89,86,11478,960,0.04,0,90,1410,99,37920,268,98,94,100,100,10424,52.08
2024-11-16,100,1020,21000,1.46875,83,91,2024-11-16T00:28:59.000+02:00,32100,96,79,16230,-0.14,93,16950,14.25,40,89,48,448,19440,28500,2526,1,15960,6870,78,83,89,127,95,96,2024-11-16T09:23:59.000+02:00,98,96,7260,98,84,86,9319,1500,0.0,0,87,570,100,31080,213,97,97,95,78,8870,51.99
2024-11-18,100,2949,20760,1.4375,78,100,2024-11-18T01:56:02.000+01:00,37959,91,93,18150,-0.02,89,18510,14.375,9,78,49,390,38160,0,2473,0,25920,6060,72,82,92,108,78,89,2024-11-18T12:28:41.000+01:00,97,71,10440,64,79,82,8195,1560,0.09,0,86,450,97,35010,257,100,92,100,65,7031,54.61
2024-11-19,100,3080,19500,1.5,81,68,2024-11-19T01:41:00.000+01:00,27950,91,77,13260,-0.15,65,12180,15.0,28,77,50,444,25560,1800,2584,1,37320,5910,65,53,94,127,60,77,2024-11-19T09:26:50.000+01:00,82,40,6780,93,76,87,9899,1980,-0.09,240,74,480,93,24870,150,96,89,95,67,8093,55.4
